PrimaryDiagnosisCode,PrimaryDiagnosisDescription,NumberOfDiagnoses
D14.0,""Benign neoplasm of middle ear",148
G31.81,"Alpers disease",148
D48.0,"Neoplasm of uncertain behavior of bone and articular cartilage",148
E70.5,"Disorders of tryptophan metabolism",148
K08.12,"Complete loss of teeth due to periodontal diseases",148
D64.1,"Secondary sideroblastic anemia due to disease",148
Q87.41,"Marfan's syndrome with cardiovascular manifestations",148
I25.73,"Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris",148
M93.1,Kienb,148
C92.60,"Acute myeloid leukemia with 11q23-abnormality not having achieved remission",148
M05.26,"Rheumatoid vasculitis with rheumatoid arthritis of knee",148
E80,"Disorders of porphyrin and bilirubin metabolism",148
C79.5,"Secondary malignant neoplasm of bone and bone marrow",148
C04.1,"Malignant neoplasm of lateral floor of mouth",148
Q60.1,""Renal agenesis",148
I78,"Diseases of capillaries",148
S35.415,"Laceration of left renal vein",147
D41.4,"Neoplasm of uncertain behavior of bladder",147
M01.X52,"Direct infection of left hip in infectious and parasitic diseases classified elsewhere",147
D16,"Benign neoplasm of bone and articular cartilage",147
F30.1,"Manic episode without psychotic symptoms",147
M05.49,"Rheumatoid myopathy with rheumatoid arthritis of multiple sites",147
C64,""Malignant neoplasm of kidney",147
E09.351,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema",147
M05.55,"Rheumatoid polyneuropathy with rheumatoid arthritis of hip",147
T82.110,"Breakdown (mechanical) of cardiac electrode",147
H02.871,"Vascular anomalies of right upper eyelid",147
M05.51,"Rheumatoid polyneuropathy with rheumatoid arthritis of shoulder",147
B20,"Human immunodeficiency virus [HIV] disease",147
D37.6,""Neoplasm of uncertain behavior of liver",147
Z22.33,"Carrier of bacterial disease due to streptococci",147
K11,"Diseases of salivary glands",147
H47.622,""Disorders of visual cortex in (due to) inflammatory disorders",147
M05.271,"Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot",147
G60.1,"Refsum's disease",147
D40.1,"Neoplasm of uncertain behavior of testis",147
K71.3,"Toxic liver disease with chronic persistent hepatitis",147
Z95.820,"Peripheral vascular angioplasty status with implants and grafts",147
O69.5,"Labor and delivery complicated by vascular lesion of cord",147
M05.741,"Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement",147
C92.02,""Acute myeloblastic leukemia",147
F80.0,"Phonological disorder",147
C10.4,"Malignant neoplasm of branchial cleft",147
D43.4,"Neoplasm of uncertain behavior of spinal cord",147
D13.4,"Benign neoplasm of liver",147
J98.6,"Disorders of diaphragm",147
C74.02,"Malignant neoplasm of cortex of left adrenal gland",147
M26.6,"Temporomandibular joint disorders",147
C57.1,"Malignant neoplasm of broad ligament",147
M90.611,""Osteitis deformans in neoplastic diseases",147
A41.3,"Sepsis due to Hemophilus influenzae",147
I97.710,"Intraoperative cardiac arrest during cardiac surgery",147
C69.61,"Malignant neoplasm of right orbit",147
C92,"Myeloid leukemia",147
D43.0,""Neoplasm of uncertain behavior of brain",147
C88.2,"Heavy chain disease",147
E72.02,"Hartnup's disease",147
M06.242,""Rheumatoid bursitis",147
B97.2,"Coronavirus as the cause of diseases classified elsewhere",147
D41.21,"Neoplasm of uncertain behavior of right ureter",147
D44.0,"Neoplasm of uncertain behavior of thyroid gland",147
O26.831,""Pregnancy related renal disease",147
C66.2,"Malignant neoplasm of left ureter",147
T82.1,"Mechanical complication of cardiac electronic device",147
C40.8,"Malignant neoplasm of overlapping sites of bone and articular cartilage of limb",147
E74.2,"Disorders of galactose metabolism",147
C40.32,"Malignant neoplasm of short bones of left lower limb",147
C09.8,"Malignant neoplasm of overlapping sites of tonsil",147
Q22,"Congenital malformations of pulmonary and tricuspid valves",147
J11.0,"Influenza due to unidentified influenza virus with pneumonia",147
C21.2,"Malignant neoplasm of cloacogenic zone",147
F81.2,"Mathematics disorder",147
T74.32,""Child psychological abuse",147
H61.192,""Noninfective disorders of pinna",147
H18.823,""Corneal disorder due to contact lens",147
M12.15,""Kaschin-Beck disease",147
M02.38,""Reiter's disease",147
F90,"Attention-deficit hyperactivity disorders",147
F68.1,"Factitious disorder",147
O99.71,"Diseases of the skin and subcutaneous tissue complicating pregnancy",147
M05.152,"Rheumatoid lung disease with rheumatoid arthritis of left hip",147
M90.822,""Osteopathy in diseases classified elsewhere",147
C09.1,"Malignant neoplasm of tonsillar pillar (anterior) (posterior)",147
D31.22,"Benign neoplasm of left retina",146
E11.3,"Type 2 diabetes mellitus with ophthalmic complications",146
C92.4,"Acute promyelocytic leukemia",146
C78.02,"Secondary malignant neoplasm of left lung",146
I06,"Rheumatic aortic valve diseases",146
C75.4,"Malignant neoplasm of carotid body",146
D17.24,"Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg",146
F01.50,"Vascular dementia without behavioral disturbance",146
D10.4,"Benign neoplasm of tonsil",146
O10.312,""Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy",146
T46.3X,""Poisoning by",146
I11,"Hypertensive heart disease",146
M06.33,""Rheumatoid nodule",146
H75.0,"Mastoiditis in infectious and parasitic diseases classified elsewhere",146
E11.321,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema",146
M05.722,"Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement",146
H75.02,""Mastoiditis in infectious and parasitic diseases classified elsewhere",146
I08.1,"Rheumatic disorders of both mitral and tricuspid valves",146
H95,""Intraoperative and postprocedural complications and disorders of ear and mastoid process",146
C79.6,"Secondary malignant neoplasm of ovary",146
F13.150,""Sedative",146
C91.A,"Mature B-cell leukemia Burkitt-type",146
D16.7,""Benign neoplasm of ribs",146
I25.761,"Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm",146
D68.3,"Hemorrhagic disorder due to circulating anticoagulants",146
Z22.32,"Carrier of bacterial disease due to staphylococci",146
R49,"Voice and resonance disorders",146
R01.0,"Benign and innocent cardiac murmurs",146
O10.3,""Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy",146
C53.1,"Malignant neoplasm of exocervix",146
F60.1,"Schizoid personality disorder",146
I70.1,"Atherosclerosis of renal artery",146
E88.4,"Mitochondrial metabolism disorders",146
E08.63,"Diabetes mellitus due to underlying condition with oral complications",146
M05.46,"Rheumatoid myopathy with rheumatoid arthritis of knee",146
D30.12,"Benign neoplasm of left renal pelvis",146
Z91.83,"Wandering in diseases classified elsewhere",146
C05.8,"Malignant neoplasm of overlapping sites of palate",146
O10.32,"Pre-existing hypertensive heart and chronic kidney disease complicating childbirth",146
C57.22,"Malignant neoplasm of left round ligament",146
M24.222,""Disorder of ligament",146
B97,"Viral agents as the cause of diseases classified elsewhere",146
M06.38,""Rheumatoid nodule",146
C05.1,"Malignant neoplasm of soft palate",146
K50.11,"Crohn's disease of large intestine with complications",146
C91.10,"Chronic lymphocytic leukemia of B-cell type not having achieved remission",146
C72.4,"Malignant neoplasm of acoustic nerve",146
E09.34,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy",146
M90.622,""Osteitis deformans in neoplastic diseases",146
C30,"Malignant neoplasm of nasal cavity and middle ear",146
M24.27,""Disorder of ligament",146
P29.0,"Neonatal cardiac failure",146
Z64,"Problems related to certain psychosocial circumstances",146
C63.0,"Malignant neoplasm of epididymis",146
F31.4,""Bipolar disorder",146
C34.0,"Malignant neoplasm of main bronchus",146
B97.7,"Papillomavirus as the cause of diseases classified elsewhere",146
E10.341,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema",146
Z12.73,"Encounter for screening for malignant neoplasm of ovary",146
C69.21,"Malignant neoplasm of right retina",146
T74.3,""Psychological abuse",145
D89.812,"Acute on chronic graft-versus-host disease",145
O29.11,"Cardiac arrest due to anesthesia during pregnancy",145
Q22.1,"Congenital pulmonary valve stenosis",145
M06.07,""Rheumatoid arthritis without rheumatoid factor",145
H53.16,"Psychophysical visual disturbances",145
M05.322,"Rheumatoid heart disease with rheumatoid arthritis of left elbow",145
N25.81,"Secondary hyperparathyroidism of renal origin",145
E09.61,"Drug or chemical induced diabetes mellitus with diabetic arthropathy",145
M05.552,"Rheumatoid polyneuropathy with rheumatoid arthritis of left hip",145
D30.1,"Benign neoplasm of renal pelvis",145
D41.22,"Neoplasm of uncertain behavior of left ureter",145
E09.64,"Drug or chemical induced diabetes mellitus with hypoglycemia",145
F31.76,""Bipolar disorder",145
K50.013,"Crohn's disease of small intestine with fistula",145
M12.1,"Kaschin-Beck disease",145
H02.874,"Vascular anomalies of left upper eyelid",145
M90.571,""Osteonecrosis in diseases classified elsewhere",145
C69.3,"Malignant neoplasm of choroid",145
M10.31,""Gout due to renal impairment",145
D16.31,"Benign neoplasm of short bones of right lower limb",145
E83.4,"Disorders of magnesium metabolism",145
D17.1,"Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk",145
G31.0,"Frontotemporal dementia",145
N49.2,"Inflammatory disorders of scrotum",145
M49.85,""Spondylopathy in diseases classified elsewhere",145
E11.610,"Type 2 diabetes mellitus with diabetic neuropathic arthropathy",145
J38,""Diseases of vocal cords and larynx",145
I73.1,"Thromboangiitis obliterans [Buerger's disease]",145
Z13.4,"Encounter for screening for certain developmental disorders in childhood",145
M05.43,"Rheumatoid myopathy with rheumatoid arthritis of wrist",145
C48,"Malignant neoplasm of retroperitoneum and peritoneum",145
D16.0,"Benign neoplasm of scapula and long bones of upper limb",145
F12.180,"Cannabis abuse with cannabis-induced anxiety disorder",145
E10.329,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema",145
N71,""Inflammatory disease of uterus",145
O26.63,"Liver and biliary tract disorders in the puerperium",145
S25.42,"Major laceration of pulmonary blood vessels",145
F30.2,""Manic episode",145
M24.21,""Disorder of ligament",145
H35.01,"Changes in retinal vascular appearance",145
H74.11,"Adhesive right middle ear disease",145
O99.72,"Diseases of the skin and subcutaneous tissue complicating childbirth",145
M05.222,"Rheumatoid vasculitis with rheumatoid arthritis of left elbow",145
M05.35,"Rheumatoid heart disease with rheumatoid arthritis of hip",145
M06.021,""Rheumatoid arthritis without rheumatoid factor",145
I13.11,""Hypertensive heart and chronic kidney disease without heart failure",145
E09.51,"Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene",145
I97.120,"Postprocedural cardiac arrest following cardiac surgery",145
C74,"Malignant neoplasm of adrenal gland",145
D57,"Sickle-cell disorders",145
G44.1,""Vascular headache",145
E10.32,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy",145
E08.0,"Diabetes mellitus due to underlying condition with hyperosmolarity",145
M02.322,""Reiter's disease",145
O99.3,""Mental disorders and diseases of the nervous system complicating pregnancy",145
O24.012,""Pre-existing diabetes mellitus",145
B57.0,"Acute Chagas' disease with heart involvement",145
C25.0,"Malignant neoplasm of head of pancreas",145
M11.02,""Hydroxyapatite deposition disease",145
C79.2,"Secondary malignant neoplasm of skin",145
D16.12,"Benign neoplasm of short bones of left upper limb",145
I07,"Rheumatic tricuspid valve diseases",145
F32.0,""Major depressive disorder",145
O24.424,""Gestational diabetes mellitus in childbirth",145
G05.4,"Myelitis in diseases classified elsewhere",145
M06.362,""Rheumatoid nodule",145
E08.11,"Diabetes mellitus due to underlying condition with ketoacidosis with coma",145
M90.562,""Osteonecrosis in diseases classified elsewhere",145
C11.8,"Malignant neoplasm of overlapping sites of nasopharynx",145
B44.0,"Invasive pulmonary aspergillosis",145
C91.1,"Chronic lymphocytic leukemia of B-cell type",145
S25.422,"Major laceration of left pulmonary blood vessels",145
E11.339,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema",145
N36.44,"Muscular disorders of urethra",145
E10.321,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema",145
R91.1,"Solitary pulmonary nodule",145
M84.54,""Pathological fracture in neoplastic disease",145
F31.13,""Bipolar disorder",145
B38.0,"Acute pulmonary coccidioidomycosis",145
D41.1,"Neoplasm of uncertain behavior of renal pelvis",145
M06.09,""Rheumatoid arthritis without rheumatoid factor",145
Q60.0,""Renal agenesis",145
C93.11,""Chronic myelomonocytic leukemia",144
Z12.13,"Encounter for screening for malignant neoplasm of small intestine",144
C17.2,"Malignant neoplasm of ileum",144
D33.3,"Benign neoplasm of cranial nerves",144
M1A.341,""Chronic gout due to renal impairment",144
T46.3X2,""Poisoning by coronary vasodilators",144
K71.7,"Toxic liver disease with fibrosis and cirrhosis of liver",144
C94.21,""Acute megakaryoblastic leukemia",144
O07.32,"Renal failure following failed attempted termination of pregnancy",144
I25.1,"Atherosclerotic heart disease of native coronary artery",144
M90.62,""Osteitis deformans in neoplastic diseases",144
Z12.1,"Encounter for screening for malignant neoplasm of intestinal tract",144
F06.31,"Mood disorder due to known physiological condition with depressive features",144
O98.7,""Human immunodeficiency virus [HIV] disease complicating pregnancy",144
B57.42,"Meningoencephalitis in Chagas' disease",144
B95.62,"Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere",144
K50.114,"Crohn's disease of large intestine with abscess",144
O99.52,"Diseases of the respiratory system complicating childbirth",144
A98.3,"Marburg virus disease",144
Q26.2,"Total anomalous pulmonary venous connection",144
C92.0,"Acute myeloblastic leukemia",144
N36.4,"Urethral functional and muscular disorders",144
H47.53,"Disorders of visual pathways in (due to) vascular disorders",144
G26,"Extrapyramidal and movement disorders in diseases classified elsewhere",144
I13.1,"Hypertensive heart and chronic kidney disease without heart failure",144
I28.1,"Aneurysm of pulmonary artery",144
H02.87,"Vascular anomalies of eyelid",144
O24.42,"Gestational diabetes mellitus in childbirth",144
E10.9,"Type 1 diabetes mellitus without complications",144
G12.2,"Motor neuron disease",144
I69.123,"Fluency disorder following nontraumatic intracerebral hemorrhage",144
K50.112,"Crohn's disease of large intestine with intestinal obstruction",144
K50.011,"Crohn's disease of small intestine with rectal bleeding",144
C00.0,"Malignant neoplasm of external upper lip",144
M05.762,"Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement",144
S25.41,"Minor laceration of pulmonary blood vessels",144
E11.331,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema",144
G89.3,"Neoplasm related pain (acute) (chronic)",144
E09.21,"Drug or chemical induced diabetes mellitus with diabetic nephropathy",144
E83.01,"Wilson's disease",144
K57,"Diverticular disease of intestine",144
F31.3,""Bipolar disorder",144
C10.1,"Malignant neoplasm of anterior surface of epiglottis",144
M06.222,""Rheumatoid bursitis",144
F31,"Bipolar disorder",144
M49.84,""Spondylopathy in diseases classified elsewhere",144
D48.2,"Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system",144
C57.01,"Malignant neoplasm of right fallopian tube",144
M22.2X,"Patellofemoral disorders",144
M05.132,"Rheumatoid lung disease with rheumatoid arthritis of left wrist",144
K71.0,"Toxic liver disease with cholestasis",144
G73,"Disorders of myoneural junction and muscle in diseases classified elsewhere",144
C15.5,"Malignant neoplasm of lower third of esophagus",144
M12.11,""Kaschin-Beck disease",144
F10.182,"Alcohol abuse with alcohol-induced sleep disorder",144
C54.0,"Malignant neoplasm of isthmus uteri",144
M01.X31,"Direct infection of right wrist in infectious and parasitic diseases classified elsewhere",144
E09.44,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy",144
C94.01,""Acute erythroid leukemia",144
C69.81,"Malignant neoplasm of overlapping sites of right eye and adnexa",144
C41.2,"Malignant neoplasm of vertebral column",144
M05.141,"Rheumatoid lung disease with rheumatoid arthritis of right hand",144
K08.422,""Partial loss of teeth due to periodontal diseases",144
C69.82,"Malignant neoplasm of overlapping sites of left eye and adnexa",144
N49.0,"Inflammatory disorders of seminal vesicle",144
F12.15,"Cannabis abuse with psychotic disorder",144
M06.272,""Rheumatoid bursitis",144
C18.2,"Malignant neoplasm of ascending colon",144
M10.38,""Gout due to renal impairment",144
M1A.311,""Chronic gout due to renal impairment",144
D41.0,"Neoplasm of uncertain behavior of kidney",144
T46.0X,""Poisoning by",144
E08,"Diabetes mellitus due to underlying condition",144
M06.062,""Rheumatoid arthritis without rheumatoid factor",144
Z12.82,"Encounter for screening for malignant neoplasm of nervous system",144
M50.03,""Cervical disc disorder with myelopathy",144
O99.352,""Diseases of the nervous system complicating pregnancy",144
K71.50,"Toxic liver disease with chronic active hepatitis without ascites",144
M12.121,""Kaschin-Beck disease",144
M05.551,"Rheumatoid polyneuropathy with rheumatoid arthritis of right hip",144
F31.81,"Bipolar II disorder",144
C78.7,"Secondary malignant neoplasm of liver and intrahepatic bile duct",144
M11.042,""Hydroxyapatite deposition disease",144
F33.1,""Major depressive disorder",143
M10.321,""Gout due to renal impairment",143
B97.81,"Human metapneumovirus as the cause of diseases classified elsewhere",143
C02.2,"Malignant neoplasm of ventral surface of tongue",143
C62.12,"Malignant neoplasm of descended left testis",143
H81.01,""M",143
K00,"Disorders of tooth development and eruption",143
D37.5,"Neoplasm of uncertain behavior of rectum",143
J98.5,""Diseases of mediastinum",143
C34.2,""Malignant neoplasm of middle lobe",143
M84.574,""Pathological fracture in neoplastic disease",143
O98.713,""Human immunodeficiency virus [HIV] disease complicating pregnancy",143
I42.3,"Endomyocardial (eosinophilic) disease",143
C70,"Malignant neoplasm of meninges",143
D38.2,"Neoplasm of uncertain behavior of pleura",143
S25.411,"Minor laceration of right pulmonary blood vessels",143
T82.11,"Breakdown (mechanical) of cardiac electronic device",143
E08.620,"Diabetes mellitus due to underlying condition with diabetic dermatitis",143
Q20,"Congenital malformations of cardiac chambers and connections",143
C92.22,""Atypical chronic myeloid leukemia",143
I97,""Intraoperative and postprocedural complications and disorders of circulatory system",143
M05.212,"Rheumatoid vasculitis with rheumatoid arthritis of left shoulder",143
D34,"Benign neoplasm of thyroid gland",143
D41.01,"Neoplasm of uncertain behavior of right kidney",143
M24.221,""Disorder of ligament",143
H26.212,""Cataract with neovascularization",143
M90.63,""Osteitis deformans in neoplastic diseases",143
D43.1,""Neoplasm of uncertain behavior of brain",143
F52.3,"Orgasmic disorder",143
T82.2,"Mechanical complication of coronary artery bypass graft and biological heart valve graft",143
M63.811,""Disorders of muscle in diseases classified elsewhere",143
E83.5,"Disorders of calcium metabolism",143
C15.4,"Malignant neoplasm of middle third of esophagus",143
G54,"Nerve root and plexus disorders",143
M05.24,"Rheumatoid vasculitis with rheumatoid arthritis of hand",143
D39.0,"Neoplasm of uncertain behavior of uterus",143
C92.20,""Atypical chronic myeloid leukemia",143
C78.2,"Secondary malignant neoplasm of pleura",143
F52.0,"Hypoactive sexual desire disorder",143
C79.32,"Secondary malignant neoplasm of cerebral meninges",143
T43.6,""Poisoning by",143
E09.341,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema",143
M06.232,""Rheumatoid bursitis",143
O24.0,""Pre-existing diabetes mellitus",143
Q22.0,"Pulmonary valve atresia",143
H82.2,""Vertiginous syndromes in diseases classified elsewhere",143
M02.331,""Reiter's disease",143
C40.12,"Malignant neoplasm of short bones of left upper limb",143
F13.182,""Sedative",143
G52.1,"Disorders of glossopharyngeal nerve",143
N77.0,"Ulceration of vulva in diseases classified elsewhere",143
M11.062,""Hydroxyapatite deposition disease",143
Z22,"Carrier of infectious disease",143
E09.22,"Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease",143
E87.4,"Mixed disorder of acid-base balance",143
G13,"Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere",143
O99.43,"Diseases of the circulatory system complicating the puerperium",143
N33,"Bladder disorders in diseases classified elsewhere",143
H18.031,""Corneal deposits in metabolic disorders",143
D10.1,"Benign neoplasm of tongue",143
B95.61,"Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere",143
Z46.82,"Encounter for fitting and adjustment of non-vascular catheter",143
E08.41,"Diabetes mellitus due to underlying condition with diabetic mononeuropathy",143
C34.02,"Malignant neoplasm of left main bronchus",143
F31.64,""Bipolar disorder",143
H94.03,""Acoustic neuritis in infectious and parasitic diseases classified elsewhere",143
C38.2,"Malignant neoplasm of posterior mediastinum",143
C17,"Malignant neoplasm of small intestine",143
M27.0,"Developmental disorders of jaws",143
O99.35,""Diseases of the nervous system complicating pregnancy",143
D30.11,"Benign neoplasm of right renal pelvis",143
F34,"Persistent mood [affective] disorders",143
E11.649,"Type 2 diabetes mellitus with hypoglycemia without coma",143
O24.420,""Gestational diabetes mellitus in childbirth",143
G70.81,"Lambert-Eaton syndrome in disease classified elsewhere",143
C47.5,"Malignant neoplasm of peripheral nerves of pelvis",143
M06.39,""Rheumatoid nodule",143
C67.7,"Malignant neoplasm of urachus",143
M11.052,""Hydroxyapatite deposition disease",143
M24.272,""Disorder of ligament",143
C90,"Multiple myeloma and malignant plasma cell neoplasms",143
C25.2,"Malignant neoplasm of tail of pancreas",143
F13.151,""Sedative",143
B97.6,"Parvovirus as the cause of diseases classified elsewhere",143
G52.0,"Disorders of olfactory nerve",143
M01.X9,"Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere",143
G71,"Primary disorders of muscles",143
C76.42,"Malignant neoplasm of left upper limb",143
E72.2,"Disorders of urea cycle metabolism",143
M90.84,""Osteopathy in diseases classified elsewhere",143
I25.750,"Atherosclerosis of native coronary artery of transplanted heart with unstable angina",143
O24.02,""Pre-existing diabetes mellitus",143
H05.322,"Deformity of left orbit due to bone disease",143
B57.4,"Chagas' disease (chronic) with nervous system involvement",143
M90.521,""Osteonecrosis in diseases classified elsewhere",143
O9A.13,"Malignant neoplasm complicating the puerperium",142
O24.113,""Pre-existing diabetes mellitus",142
C78.6,"Secondary malignant neoplasm of retroperitoneum and peritoneum",142
G01,"Meningitis in bacterial diseases classified elsewhere",142
M90.532,""Osteonecrosis in diseases classified elsewhere",142
M84.533,""Pathological fracture in neoplastic disease",142
K76.81,"Hepatopulmonary syndrome",142
Z13.81,"Encounter for screening for digestive system disorders",142
K71,"Toxic liver disease",142
M01.X22,"Direct infection of left elbow in infectious and parasitic diseases classified elsewhere",142
D15.2,"Benign neoplasm of mediastinum",142
C69.42,"Malignant neoplasm of left ciliary body",142
C92.11,""Chronic myeloid leukemia",142
M01.X41,"Direct infection of right hand in infectious and parasitic diseases classified elsewhere",142
C84.15,""S",142
E11.2,"Type 2 diabetes mellitus with kidney complications",142
F68.13,"Factitious disorder with combined psychological and physical signs and symptoms",142
E08.321,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema",142
M05.412,"Rheumatoid myopathy with rheumatoid arthritis of left shoulder",142
O99.612,""Diseases of the digestive system complicating pregnancy",142
I31.4,"Cardiac tamponade",142
C92.A1,""Acute myeloid leukemia with multilineage dysplasia",142
F30.12,""Manic episode without psychotic symptoms",142
M24.251,""Disorder of ligament",142
M05.31,"Rheumatoid heart disease with rheumatoid arthritis of shoulder",142
M90.641,""Osteitis deformans in neoplastic diseases",142
M63,"Disorders of muscle in diseases classified elsewhere",142
M05.561,"Rheumatoid polyneuropathy with rheumatoid arthritis of right knee",142
Q61.01,"Congenital single renal cyst",142
M12.172,""Kaschin-Beck disease",142
C40.02,"Malignant neoplasm of scapula and long bones of left upper limb",142
I32,"Pericarditis in diseases classified elsewhere",142
J11.83,"Influenza due to unidentified influenza virus with otitis media",142
M05,"Rheumatoid arthritis with rheumatoid factor",142
M05.252,"Rheumatoid vasculitis with rheumatoid arthritis of left hip",142
I25.711,"Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm",142
B95.2,"Enterococcus as the cause of diseases classified elsewhere",142
M90.66,""Osteitis deformans in neoplastic diseases",142
M05.751,"Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement",142
D28.2,"Benign neoplasm of uterine tubes and ligaments",142
E75.240,"Niemann-Pick disease type A",142
M11.09,""Hydroxyapatite deposition disease",142
A39.5,"Meningococcal heart disease",142
O98.61,"Protozoal diseases complicating pregnancy",142
M05.542,"Rheumatoid polyneuropathy with rheumatoid arthritis of left hand",142
B33.1,"Ross River disease",142
L45,"Papulosquamous disorders in diseases classified elsewhere",142
L87,"Transepidermal elimination disorders",142
C51,"Malignant neoplasm of vulva",142
F10,"Alcohol related disorders",142
E11.61,"Type 2 diabetes mellitus with diabetic arthropathy",142
K21.9,"Gastro-esophageal reflux disease without esophagitis",142
O24.11,""Pre-existing diabetes mellitus",142
C53,"Malignant neoplasm of cervix uteri",142
M90.631,""Osteitis deformans in neoplastic diseases",142
D31.2,"Benign neoplasm of retina",142
C91.31,""Prolymphocytic leukemia of B-cell type",142
C40.31,"Malignant neoplasm of short bones of right lower limb",142
M01.X71,"Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere",142
M06.332,""Rheumatoid nodule",142
C92.5,"Acute myelomonocytic leukemia",142
P35,"Congenital viral diseases",142
B08.22,"Exanthema subitum [sixth disease] due to human herpesvirus 7",142
I21.01,"ST elevation (STEMI) myocardial infarction involving left main coronary artery",142
C41.1,"Malignant neoplasm of mandible",142
M49.8,"Spondylopathy in diseases classified elsewhere",142
O08.4,"Renal failure following ectopic and molar pregnancy",142
E83.0,"Disorders of copper metabolism",142
N25.0,"Renal osteodystrophy",142
F33.41,""Major depressive disorder",142
Y71,"Cardiovascular devices associated with adverse incidents",142
M05.3,"Rheumatoid heart disease with rheumatoid arthritis",142
H26.22,"Cataract secondary to ocular disorders (degenerative) (inflammatory)",142
O99.412,""Diseases of the circulatory system complicating pregnancy",142
C05.0,"Malignant neoplasm of hard palate",141
D13.0,"Benign neoplasm of esophagus",141
C94.32,""Mast cell leukemia",141
D37.2,"Neoplasm of uncertain behavior of small intestine",141
M05.441,"Rheumatoid myopathy with rheumatoid arthritis of right hand",141
E11.42,"Type 2 diabetes mellitus with diabetic polyneuropathy",141
H47.521,""Disorders of visual pathways in (due to) neoplasm",141
M90.812,""Osteopathy in diseases classified elsewhere",141
Z13.85,"Encounter for screening for nervous system disorders",141
C25.8,"Malignant neoplasm of overlapping sites of pancreas",141
D31.02,"Benign neoplasm of left conjunctiva",141
B97.33,""Human T-cell lymphotrophic virus",141
M05.59,"Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites",141
D37.031,"Neoplasm of uncertain behavior of the sublingual salivary glands",141
F01,"Vascular dementia",141
M10.3,"Gout due to renal impairment",141
C76.0,""Malignant neoplasm of head",141
E11.01,"Type 2 diabetes mellitus with hyperosmolarity with coma",141
E72.3,"Disorders of lysine and hydroxylysine metabolism",141
E10.339,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema",141
F43,""Reaction to severe stress",141
M05.562,"Rheumatoid polyneuropathy with rheumatoid arthritis of left knee",141
F04,"Amnestic disorder due to known physiological condition",141
C62.02,"Malignant neoplasm of undescended left testis",141
F31.62,""Bipolar disorder",141
T46.0X4,""Poisoning by cardiac-stimulant glycosides and drugs of similar action",141
N18.5,""Chronic kidney disease",141
E74.01,"von Gierke disease",141
H16.441,""Deep vascularization of cornea",141
M90.61,""Osteitis deformans in neoplastic diseases",141
G47.6,"Sleep related movement disorders",141
D10.0,"Benign neoplasm of lip",141
M84.542,""Pathological fracture in neoplastic disease",141
I25.7,"Atherosclerosis of coronary artery bypass graft(s) and coronary artery of transplanted heart with angina pectoris",141
F10.180,"Alcohol abuse with alcohol-induced anxiety disorder",141
F31.32,""Bipolar disorder",141
O26.611,""Liver and biliary tract disorders in pregnancy",141
C79.72,"Secondary malignant neoplasm of left adrenal gland",141
N18.1,""Chronic kidney disease",141
E79.0,"Hyperuricemia without signs of inflammatory arthritis and tophaceous disease",141
B95.6,"Staphylococcus aureus as the cause of diseases classified elsewhere",141
C71.2,"Malignant neoplasm of temporal lobe",141
M90.672,""Osteitis deformans in neoplastic diseases",141
H26.223,""Cataract secondary to ocular disorders (degenerative) (inflammatory)",141
E09.65,"Drug or chemical induced diabetes mellitus with hyperglycemia",141
